Time,Metric,Symbol,Value
2009-02-14,transactions_count,btc,0.0
2009-02-14,transactions_rate,btc,0.0
2009-02-14,transfers_mean,btc,0.0
2009-02-14,transfers_sum,btc,0.0
2009-02-15,active_addresses,btc,14.0
2009-02-15,addresses,btc,4493.0
2009-02-15,non_zero_addresses,btc,131.0
2009-02-15,supply,btc,222300.0
2009-02-15,transactions_count,btc,3.0
2009-02-15,transactions_mean,btc,580.666666666667
2009-02-15,transactions_rate,btc,3.4722222222e-05
2009-02-15,transactions_sum,btc,1742.0
2009-02-15,transfers_mean,btc,300.0
2009-02-15,transfers_sum,btc,900.0
2009-02-16,active_addresses,btc,31.0
2009-02-16,addresses,btc,4615.0
2009-02-16,non_zero_addresses,btc,122.0
2009-02-16,supply,btc,228400.0
2009-02-16,transactions_count,btc,1.0
2009-02-16,transactions_mean,btc,3463.0
2009-02-16,transactions_rate,btc,1.1574074074e-05
2009-02-16,transactions_sum,btc,3463.0
2009-02-16,transfers_mean,btc,1500.0
2009-02-16,transfers_sum,btc,1500.0
2009-02-17,active_addresses,btc,0.0
2009-02-17,addresses,btc,4732.0
2009-02-17,non_zero_addresses,btc,117.0
2009-02-17,supply,btc,234250.0
2009-02-17,transactions_count,btc,0.0
2009-02-17,transactions_rate,btc,0.0
2009-02-17,transfers_mean,btc,0.0
2009-02-17,transfers_sum,btc,0.0
2009-02-18,active_addresses,btc,0.0
2009-02-18,addresses,btc,4850.0
2009-02-18,non_zero_addresses,btc,118.0
2009-02-18,supply,btc,240150.0
2009-02-18,transactions_count,btc,0.0
2009-02-18,transactions_rate,btc,0.0
2009-02-18,transfers_mean,btc,0.0
2009-02-18,transfers_sum,btc,0.0
2009-02-19,active_addresses,btc,17.0
2009-02-19,addresses,btc,4974.0
2009-02-19,non_zero_addresses,btc,124.0
2009-02-19,supply,btc,246350.0
2009-02-19,transactions_count,btc,1.0
2009-02-19,transactions_mean,btc,1871.0
2009-02-19,transactions_rate,btc,1.1574074074e-05
2009-02-19,transactions_sum,btc,1871.0
2009-02-19,transfers_mean,btc,800.0
2009-02-19,transfers_sum,btc,800.0
2009-02-20,active_addresses,btc,0.0
2009-02-20,addresses,btc,5096.0
2009-02-20,non_zero_addresses,btc,122.0
2009-02-20,supply,btc,252450.0
2009-02-20,transactions_count,btc,0.0
2009-02-20,transactions_rate,btc,0.0
2009-02-20,transfers_mean,btc,0.0
2009-02-20,transfers_sum,btc,0.0
2009-02-21,active_addresses,btc,0.0
2009-02-21,addresses,btc,5210.0
2009-02-21,non_zero_addresses,btc,114.0
2009-02-21,supply,btc,258150.0
2009-02-21,transactions_count,btc,0.0
2009-02-21,transactions_rate,btc,0.0
2009-02-21,transfers_mean,btc,0.0
2009-02-21,transfers_sum,btc,0.0
2009-02-22,active_addresses,btc,12.0
2009-02-22,addresses,btc,5335.0
2009-02-22,non_zero_addresses,btc,125.0
2009-02-22,supply,btc,264200.0
2009-02-22,transactions_count,btc,4.0
2009-02-22,transactions_mean,btc,388.75
2009-02-22,transactions_rate,btc,4.6296296296e-05
2009-02-22,transactions_sum,btc,1555.0
2009-02-22,transfers_mean,btc,262.5
2009-02-22,transfers_sum,btc,1050.0
2009-02-23,active_addresses,btc,0.0
2009-02-23,addresses,btc,5443.0
2009-02-23,non_zero_addresses,btc,108.0
2009-02-23,supply,btc,269600.0
2009-02-23,transactions_count,btc,0.0
2009-02-23,transactions_rate,btc,0.0
2009-02-23,transfers_mean,btc,0.0
2009-02-23,transfers_sum,btc,0.0
2009-02-24,active_addresses,btc,0.0
2009-02-24,addresses,btc,5549.0
2009-02-24,non_zero_addresses,btc,106.0
2009-02-24,supply,btc,274900.0
2009-02-24,transactions_count,btc,0.0
2009-02-24,transactions_rate,btc,0.0
2009-02-24,transfers_mean,btc,0.0
2009-02-24,transfers_sum,btc,0.0
2009-02-25,active_addresses,btc,0.0
2009-02-25,addresses,btc,5654.0
2009-02-25,non_zero_addresses,btc,105.0
2009-02-25,supply,btc,280150.0
2009-02-25,transactions_count,btc,0.0
2009-02-25,transactions_rate,btc,0.0
2009-02-25,transfers_mean,btc,0.0
2009-02-25,transfers_sum,btc,0.0
2009-02-26,active_addresses,btc,0.0
2009-02-26,addresses,btc,5761.0
2009-02-26,non_zero_addresses,btc,107.0
2009-02-26,supply,btc,285500.0
2009-02-26,transactions_count,btc,0.0
2009-02-26,transactions_rate,btc,0.0
2009-02-26,transfers_mean,btc,0.0
2009-02-26,transfers_sum,btc,0.0
2009-02-27,active_addresses,btc,37.0
2009-02-27,addresses,btc,5876.0
2009-02-27,non_zero_addresses,btc,115.0
2009-02-27,supply,btc,291250.0
2009-02-27,transactions_count,btc,1.0
2009-02-27,transactions_mean,btc,4150.0
2009-02-27,transactions_rate,btc,1.1574074074e-05
2009-02-27,transactions_sum,btc,4150.0
2009-02-27,transfers_mean,btc,1800.0
2009-02-27,transfers_sum,btc,1800.0
2009-02-28,active_addresses,btc,8.0
2009-02-28,addresses,btc,5975.0
2009-02-28,non_zero_addresses,btc,99.0
2009-02-28,supply,btc,296200.0
2009-02-28,transactions_count,btc,1.0
2009-02-28,transactions_mean,btc,844.0
2009-02-28,transactions_rate,btc,1.1574074074e-05
2009-02-28,transactions_sum,btc,844.0
2009-02-28,transfers_mean,btc,350.0
2009-02-28,transfers_sum,btc,350.0
2009-03-01,active_addresses,btc,0.0
2009-03-01,addresses,btc,6080.0
2009-03-01,non_zero_addresses,btc,105.0
2009-03-01,supply,btc,301450.0
2009-03-01,transactions_count,btc,0.0
2009-03-01,transactions_rate,btc,0.0
2009-03-01,transfers_mean,btc,0.0
2009-03-01,transfers_sum,btc,0.0
2009-03-02,active_addresses,btc,0.0
2009-03-02,addresses,btc,6188.0
2009-03-02,non_zero_addresses,btc,108.0
2009-03-02,supply,btc,306850.0
2009-03-02,transactions_count,btc,0.0
2009-03-02,transactions_rate,btc,0.0
2009-03-02,transfers_mean,btc,0.0
2009-03-02,transfers_sum,btc,0.0
2009-03-03,active_addresses,btc,9.0
2009-03-03,addresses,btc,6293.0
2009-03-03,non_zero_addresses,btc,105.0
2009-03-03,supply,btc,312100.0
2009-03-03,transactions_count,btc,2.0
2009-03-03,transactions_mean,btc,499.0
2009-03-03,transactions_rate,btc,2.3148148148e-05
2009-03-03,transactions_sum,btc,998.0
2009-03-03,transfers_mean,btc,200.0
2009-03-03,transfers_sum,btc,400.0
2009-03-04,active_addresses,btc,26.0
2009-03-04,addresses,btc,6397.0
2009-03-04,non_zero_addresses,btc,104.0
2009-03-04,supply,btc,317300.0
2009-03-04,transactions_count,btc,2.0
2009-03-04,transactions_mean,btc,1509.0
2009-03-04,transactions_rate,btc,2.3148148148e-05
2009-03-04,transactions_sum,btc,3018.0
2009-03-04,transfers_mean,btc,625.0
2009-03-04,transfers_sum,btc,1250.0
2009-03-05,active_addresses,btc,9.0
2009-03-05,addresses,btc,6509.0
2009-03-05,non_zero_addresses,btc,112.0
2009-03-05,supply,btc,322900.0
2009-03-05,transactions_count,btc,1.0
2009-03-05,transactions_mean,btc,953.0
2009-03-05,transactions_rate,btc,1.1574074074e-05
2009-03-05,transactions_sum,btc,953.0
2009-03-05,transfers_mean,btc,400.0
2009-03-05,transfers_sum,btc,400.0
2009-03-06,active_addresses,btc,0.0
2009-03-06,addresses,btc,6626.0
2009-03-06,non_zero_addresses,btc,117.0
2009-03-06,supply,btc,328750.0
2009-03-06,transactions_count,btc,0.0
2009-03-06,transactions_rate,btc,0.0
2009-03-06,transfers_mean,btc,0.0
2009-03-06,transfers_sum,btc,0.0
2009-03-07,active_addresses,btc,0.0
2009-03-07,addresses,btc,6735.0
2009-03-07,non_zero_addresses,btc,109.0
2009-03-07,supply,btc,334200.0
2009-03-07,transactions_count,btc,0.0
2009-03-07,transactions_rate,btc,0.0
2009-03-07,transfers_mean,btc,0.0
2009-03-07,transfers_sum,btc,0.0
2009-03-08,active_addresses,btc,27.0
2009-03-08,addresses,btc,6852.0
2009-03-08,non_zero_addresses,btc,117.0
2009-03-08,supply,btc,339950.0
2009-03-08,transactions_count,btc,3.0
2009-03-08,transactions_mean,btc,1061.33333333333
2009-03-08,transactions_rate,btc,3.4722222222e-05
2009-03-08,transactions_sum,btc,3184.0
2009-03-08,transfers_mean,btc,516.666666666667
2009-03-08,transfers_sum,btc,1550.0
2009-03-09,active_addresses,btc,0.0
2009-03-09,addresses,btc,6960.0
2009-03-09,non_zero_addresses,btc,108.0
2009-03-09,supply,btc,345350.0
2009-03-09,transactions_count,btc,0.0
2009-03-09,transactions_rate,btc,0.0
2009-03-09,transfers_mean,btc,0.0
2009-03-09,transfers_sum,btc,0.0
2009-03-10,active_addresses,btc,0.0
2009-03-10,addresses,btc,7067.0
2009-03-10,non_zero_addresses,btc,107.0
2009-03-10,supply,btc,350700.0
2009-03-10,transactions_count,btc,0.0
2009-03-10,transactions_rate,btc,0.0
2009-03-10,transfers_mean,btc,0.0
2009-03-10,transfers_sum,btc,0.0
2009-03-11,active_addresses,btc,0.0
2009-03-11,addresses,btc,7181.0
2009-03-11,non_zero_addresses,btc,114.0
2009-03-11,supply,btc,356400.0
2009-03-11,transactions_count,btc,0.0
2009-03-11,transactions_rate,btc,0.0
2009-03-11,transfers_mean,btc,0.0
2009-03-11,transfers_sum,btc,0.0
2009-03-12,active_addresses,btc,4.0
2009-03-12,addresses,btc,7300.0
2009-03-12,non_zero_addresses,btc,119.0
2009-03-12,supply,btc,362300.0
2009-03-12,transactions_count,btc,1.0
2009-03-12,transactions_mean,btc,427.0
2009-03-12,transactions_rate,btc,1.1574074074e-05
2009-03-12,transactions_sum,btc,427.0
2009-03-12,transfers_mean,btc,150.0
2009-03-12,transfers_sum,btc,150.0
2009-03-13,active_addresses,btc,14.0
2009-03-13,addresses,btc,7413.0
2009-03-13,non_zero_addresses,btc,113.0
2009-03-13,supply,btc,367950.0
2009-03-13,transactions_count,btc,1.0
2009-03-13,transactions_mean,btc,1521.0
2009-03-13,transactions_rate,btc,1.1574074074e-05
2009-03-13,transactions_sum,btc,1521.0
2009-03-13,transfers_mean,btc,750.0
2009-03-13,transfers_sum,btc,750.0
2009-03-14,active_addresses,btc,0.0
2009-03-14,addresses,btc,7523.0
2009-03-14,non_zero_addresses,btc,110.0
2009-03-14,supply,btc,373450.0
2009-03-14,transactions_count,btc,0.0
2009-03-14,transactions_rate,btc,0.0
2009-03-14,transfers_mean,btc,0.0
2009-03-14,transfers_sum,btc,0.0
2009-03-15,active_addresses,btc,0.0
2009-03-15,addresses,btc,7646.0
2009-03-15,non_zero_addresses,btc,123.0
2009-03-15,supply,btc,379600.0
2009-03-15,transactions_count,btc,0.0
2009-03-15,transactions_rate,btc,0.0
2009-03-15,transfers_mean,btc,0.0
2009-03-15,transfers_sum,btc,0.0
2009-03-16,active_addresses,btc,49.0
2009-03-16,addresses,btc,7767.0
2009-03-16,non_zero_addresses,btc,121.0
2009-03-16,supply,btc,385650.0
2009-03-16,transactions_count,btc,1.0
2009-03-16,transactions_mean,btc,5511.0
2009-03-16,transactions_rate,btc,1.1574074074e-05
2009-03-16,transactions_sum,btc,5511.0
2009-03-16,transfers_mean,btc,2400.0
2009-03-16,transfers_sum,btc,2400.0
2009-03-17,active_addresses,btc,0.0
2009-03-17,addresses,btc,7881.0
2009-03-17,non_zero_addresses,btc,114.0
2009-03-17,supply,btc,391350.0
2009-03-17,transactions_count,btc,0.0
2009-03-17,transactions_rate,btc,0.0
2009-03-17,transfers_mean,btc,0.0
2009-03-17,transfers_sum,btc,0.0
2009-03-18,active_addresses,btc,15.0
2009-03-18,addresses,btc,7995.0
2009-03-18,non_zero_addresses,btc,114.0
2009-03-18,supply,btc,397050.0
2009-03-18,transactions_count,btc,2.0
